name,mass_kg,cross_sectional_area_m2,drag_coefficient,altitude_m
ISS,419725,2500,2,408000
CubeSat,5,0.03,2.2,500000
ISS,419725,2500,2.0,408000
STARLINK-001,260,4.0,2.2,550000
STARLINK-002,260,4.0,2.2,550000
STARLINK-003,260,4.0,2.2,550000
ONEWEB-001,150,1.3,2.2,1200000
ONEWEB-002,150,1.3,2.2,1200000
IRIDIUM-001,689,9.0,2.1,780000
IRIDIUM-002,689,9.0,2.1,780000
CUBESAT-001,5,0.03,2.2,500000
CUBESAT-002,5,0.03,2.2,520000
CUBESAT-003,5,0.03,2.2,540000
TESTSAT-1,50,0.5,2.2,500000
TESTSAT-2,50,0.5,2.2,600000
TESTSAT-3,50,0.5,2.2,700000
